community_area,total_crimes,violent_crimes,property_crimes,arrest_count,domestic_crimes,first_year,last_year,arrest_rate
1,3601,1025,1585,916,594,2015,2015,0.25437378505970565
2,3126,819,1482,627,527,2015,2015,0.20057581573896352
3,3671,1039,1487,981,434,2015,2015,0.2672296377008989
4,1773,432,889,310,189,2015,2015,0.1748448956570784
5,1396,234,855,187,118,2015,2015,0.1339541547277937
6,5595,1181,3186,998,337,2015,2015,0.17837354781054512
7,3767,535,2539,413,196,2015,2015,0.10963631537032122
8,9097,1602,5074,1996,495,2015,2015,0.21941299329449268
9,258,68,102,35,45,2015,2015,0.13565891472868216
10,1280,267,632,222,182,2015,2015,0.1734375
11,1156,254,554,235,185,2015,2015,0.20328719723183392
12,451,86,248,54,67,2015,2015,0.1197339246119734
13,845,170,488,137,101,2015,2015,0.1621301775147929
14,2549,745,1257,447,447,2015,2015,0.1753628874068262
15,3468,864,1694,665,579,2015,2015,0.19175317185697807
16,3026,815,1575,426,535,2015,2015,0.14077990746860541
17,1665,412,783,280,333,2015,2015,0.16816816816816818
18,589,156,290,103,132,2015,2015,0.17487266553480477
19,4864,1511,1909,1306,965,2015,2015,0.26850328947368424
20,1742,481,776,457,359,2015,2015,0.26234213547646384
21,2270,586,1208,414,339,2015,2015,0.18237885462555067
22,4812,1088,2771,852,626,2015,2015,0.1770573566084788
23,8209,2595,2419,3093,1654,2015,2015,0.37678158119137534
24,7097,1489,4349,1026,668,2015,2015,0.14456812737776525
25,17435,5490,4885,6660,3901,2015,2015,0.3819902494981359
26,6039,1670,1178,3120,1053,2015,2015,0.5166418281172379
27,5467,1714,1337,2276,1098,2015,2015,0.4163160782879093
28,7964,1891,4118,1556,950,2015,2015,0.1953792064289302
29,8446,2867,2315,3229,2016,2015,2015,0.38231115320861947
30,4483,1545,1667,1170,929,2015,2015,0.260985946910551
31,2537,728,1197,597,374,2015,2015,0.23531730390224675
32,7604,1217,4557,1806,336,2015,2015,0.23750657548658602
33,1885,437,907,410,192,2015,2015,0.21750663129973474
34,1085,353,470,207,120,2015,2015,0.19078341013824884
35,2529,778,1057,532,410,2015,2015,0.210359826018189
36,635,196,277,86,159,2015,2015,0.13543307086614173
37,842,279,305,250,161,2015,2015,0.29691211401425177
38,3168,1054,1349,619,742,2015,2015,0.19539141414141414
39,1381,430,587,195,303,2015,2015,0.14120202751629254
40,2780,1049,1083,608,741,2015,2015,0.218705035971223
41,1523,366,817,151,213,2015,2015,0.09914642153644124
42,3764,1266,1415,985,860,2015,2015,0.26168969181721574
43,9129,3080,3523,2182,2431,2015,2015,0.23901851243290612
44,6069,2025,2437,1727,1480,2015,2015,0.2845608831768001
45,1393,465,541,314,295,2015,2015,0.22541277817659727
46,5105,1770,1752,1592,1352,2015,2015,0.3118511263467189
47,389,124,155,85,88,2015,2015,0.2185089974293059
48,1489,446,649,304,336,2015,2015,0.20416386836803224
49,6663,2281,2496,1762,1489,2015,2015,0.2644454449947471
50,1050,331,421,323,231,2015,2015,0.3076190476190476
51,1931,601,762,571,444,2015,2015,0.29570170895908854
52,1326,414,508,360,286,2015,2015,0.27149321266968324
53,4027,1344,1521,1044,1037,2015,2015,0.2592500620809536
54,1190,512,390,297,329,2015,2015,0.2495798319327731
55,519,159,203,100,113,2015,2015,0.1926782273603083
56,1860,399,895,374,264,2015,2015,0.2010752688172043
57,1003,287,489,227,148,2015,2015,0.226321036889332
58,2772,813,1086,764,551,2015,2015,0.2756132756132756
59,1084,274,555,276,154,2015,2015,0.25461254612546125
60,1623,417,860,282,273,2015,2015,0.17375231053604437
61,5019,1627,1804,1615,1029,2015,2015,0.3217772464634389
62,1038,243,530,221,139,2015,2015,0.21290944123314065
63,2376,740,993,598,509,2015,2015,0.2516835016835017
64,943,231,445,144,207,2015,2015,0.15270413573700956
65,2064,442,1198,460,324,2015,2015,0.22286821705426357
66,6242,1927,2268,1816,1417,2015,2015,0.2909323934636335
67,7554,2468,2274,2736,1731,2015,2015,0.36219221604447976
68,7263,2492,2236,2510,1672,2015,2015,0.345587222910643
69,6795,2476,2478,1768,1831,2015,2015,0.2601913171449595
70,2323,639,1052,405,439,2015,2015,0.1743435213086526
71,7878,2704,2836,2156,1980,2015,2015,0.27367352119827365
72,995,183,556,120,126,2015,2015,0.12060301507537688
73,3183,975,1200,736,688,2015,2015,0.23122840087967325
74,620,155,251,105,130,2015,2015,0.1693548387096774
75,2095,581,898,478,428,2015,2015,0.22816229116945108
76,1735,264,685,484,94,2015,2015,0.27896253602305476
77,2269,580,1108,509,298,2015,2015,0.2243278977523138
