community_area_number,total_crimes,violent_crimes,property_crimes,arrest_count,domestic_crimes,first_year,last_year,arrest_rate,community_area_name_housing,affordable_property_count,affordable_unit_count,avg_units_per_property,community_area_name_grocery,grocery_store_count,total_grocery_square_feet,avg_grocery_square_feet,safety_score,violent_safety_score,housing_score,grocery_score,final_livability_score,cluster
38,3168,1054,1349,619,742,2015,2015,0.1953914141414141,Grand Boulevard,30.0,2406.0,80.2,GRAND BOULEVARD,4.0,0.0,0.0,83.05874134016418,81.8148284765769,100.0,18.181818181818183,79.64832254039992,0
36,635,196,277,86,159,2015,2015,0.1354330708661417,Oakland,18.0,1063.0,59.05555555555556,,0.0,0.0,0.0,97.80520463410376,97.63924751014386,44.181213632585205,0.0,77.25839668939969,2
33,1885,437,907,410,192,2015,2015,0.2175066312997347,Near South Side,12.0,1473.0,122.75,NEAR SOUTH SIDE,2.0,0.0,0.0,90.52803167025674,93.1943932128366,61.22194513715711,9.090909090909092,77.18969249134702,2
3,3671,1039,1487,981,434,2015,2015,0.2672296377008989,Uptown,39.0,1432.0,36.71794871794872,UPTOWN,15.0,0.0,0.0,80.13040693951214,82.09147915898193,59.51787198669992,68.18181818181817,75.30330912804774,0
1,3601,1025,1585,916,594,2015,2015,0.2543737850597056,Rogers Park,10.0,1178.0,117.8,ROGERS PARK,13.0,0.0,0.0,80.53792862548757,82.34968646255994,48.96093100581879,59.09090909090909,72.53076660736406,0
13,845,170,488,137,101,2015,2015,0.1621301775147929,North Park,3.0,380.0,126.66666666666669,NORTH PARK,2.0,0.0,0.0,96.58263957617744,98.11877535964588,15.793848711554448,9.090909090909092,72.05974230059311,2
77,2269,580,1108,509,298,2015,2015,0.2243278977523138,Edgewater,7.0,529.0,75.57142857142857,EDGEWATER,11.0,0.0,0.0,88.29248413576293,90.55699004057544,21.98669991687448,50.0,71.76820535461206,0
55,519,159,203,100,113,2015,2015,0.1926782273603083,Hegewisch,1.0,116.0,116.0,HEGEWISCH,3.0,0.0,0.0,98.48052628514874,98.3216525267429,4.821280133000832,13.636363636363637,71.22454235023919,2
9,258,68,102,35,45,2015,2015,0.1356589147286821,Edison Park,1.0,1.0,1.0,EDISON PARK,1.0,0.0,0.0,100.0,100.0,0.0415627597672485,4.545454545454546,70.4628580064989,2
5,1396,234,855,187,118,2015,2015,0.1339541547277937,North Center,5.0,162.0,32.4,NORTH CENTER,6.0,0.0,0.0,93.37486173371369,96.9383991147178,6.733167082294264,27.27272727272727,70.3271937025822,2
12,451,86,248,54,67,2015,2015,0.1197339246119734,,0.0,0.0,0.0,FOREST GLEN,2.0,0.0,0.0,98.87640449438204,99.66801918111398,0.0,9.090909090909092,70.32047772684132,2
74,620,155,251,105,130,2015,2015,0.1693548387096774,,0.0,0.0,0.0,MOUNT GREENWOOD,3.0,0.0,0.0,97.89253070966993,98.3954260420509,0.0,13.636363636363637,70.01413169350054,2
18,589,156,290,103,132,2015,2015,0.1748726655348047,Montclare,6.0,97.0,16.166666666666668,MONTCLARE,1.0,0.0,0.0,98.07300459917332,98.3769826632239,4.0315876974231095,4.545454545454546,69.98796072946405,2
39,1381,430,587,195,303,2015,2015,0.1412020275162925,Kenwood,3.0,333.0,111.0,KENWOOD,4.0,0.0,0.0,93.46218780927984,93.3234968646256,13.840399002493768,18.181818181818183,69.9751203490129,2
2,3126,819,1482,627,527,2015,2015,0.2005758157389635,West Ridge,6.0,324.0,54.0,WEST RIDGE,18.0,0.0,0.0,83.30325435174943,86.14902250092217,13.466334164588527,81.81818181818183,69.89880509825367,0
17,1665,412,783,280,333,2015,2015,0.1681681681681681,Dunning,1.0,129.0,129.0,DUNNING,9.0,0.0,0.0,91.8088141118938,93.65547768351162,5.361596009975062,40.909090909090914,69.89106406413423,2
50,1050,331,421,323,231,2015,2015,0.3076190476190476,Roseland,2.0,270.0,135.0,PULLMAN,2.0,0.0,0.0,95.38918321010654,95.14939136849873,11.221945137157109,9.090909090909092,69.86596022319495,2
34,1085,353,470,207,120,2015,2015,0.1907834101382488,Armour Square,1.0,147.0,147.0,ARMOUR SQUARE,4.0,0.0,0.0,95.18542236711882,94.74363703430468,6.109725685785536,18.181818181818183,69.55947627911856,2
47,389,124,155,85,88,2015,2015,0.2185089974293059,,0.0,0.0,0.0,,0.0,0.0,0.0,99.23735227338884,98.96717078568794,0.0,0.0,69.39860121944696,2
54,1190,512,390,297,329,2015,2015,0.2495798319327731,Riverdale,2.0,333.0,166.5,RIVERDALE,2.0,0.0,0.0,94.57413983815567,91.8111398008115,13.840399002493768,9.090909090909092,69.1883185869626,2
62,1038,243,530,221,139,2015,2015,0.2129094412331406,West Elsdon,1.0,78.0,78.0,WEST ELSDON,3.0,0.0,0.0,95.45904407055949,96.7724087052748,3.2418952618453867,13.636363636363637,69.16168742407591,2
35,2529,778,1057,532,410,2015,2015,0.210359826018189,Douglas,17.0,896.0,52.70588235294117,DOUGLAS,2.0,0.0,0.0,86.77883215928276,86.90520103282921,37.2402327514547,9.090909090909092,69.1339121892664,2
10,1280,267,632,222,182,2015,2015,0.1734375,Norwood Park,1.0,84.0,84.0,NORWOOD PARK,4.0,0.0,0.0,94.0501833847587,96.32976761342678,3.491271820448877,18.181818181818183,68.92146060876969,2
31,2537,728,1197,597,374,2015,2015,0.2353173039022467,Lower West Side,15.0,352.0,23.466666666666665,LOWER WEST SIDE,11.0,0.0,0.0,86.73225825231414,87.82736997417928,14.630091438071489,50.0,68.91237699470048,0
57,1003,287,489,227,148,2015,2015,0.226321036889332,,0.0,0.0,0.0,ARCHER HEIGHTS,4.0,0.0,0.0,95.6628049135472,95.96090003688676,0.0,18.181818181818183,68.85666903849975,2
37,842,279,305,250,161,2015,2015,0.2969121140142517,Fuller Park,1.0,100.0,100.0,FULLER PARK,1.0,0.0,0.0,96.60010479129068,96.10844706750277,4.156275976724855,4.545454545454546,68.7829595728469,2
11,1156,254,554,235,185,2015,2015,0.2032871972318339,Jefferson Park,1.0,73.0,73.0,JEFFERSON PARK,3.0,0.0,0.0,94.77207894277232,96.5695315381778,3.034081463009144,13.636363636363637,68.76027106503018,2
59,1084,274,555,276,154,2015,2015,0.2546125461254612,,0.0,0.0,0.0,MCKINLEY PARK,4.0,0.0,0.0,95.1912441054899,96.20066396163776,0.0,18.181818181818183,68.70440765606172,2
14,2549,745,1257,447,447,2015,2015,0.1753628874068262,Albany Park,3.0,233.0,77.66666666666667,ALBANY PARK,12.0,0.0,0.0,86.6623973918612,87.51383253412025,9.68412302576891,54.54545454545454,68.26790701956685,0
72,995,183,556,120,126,2015,2015,0.1206030150753768,,0.0,0.0,0.0,BEVERLY,1.0,0.0,0.0,95.7093788205158,97.87901143489488,0.0,4.545454545454546,67.99351878250128,2
56,1860,399,895,374,264,2015,2015,0.2010752688172043,Garfield Ridge,3.0,228.0,76.0,GARFIELD RIDGE,4.0,0.0,0.0,90.67357512953367,93.89524160826264,9.476309226932669,18.181818181818183,67.99036287392416,2
64,943,231,445,144,207,2015,2015,0.1527041357370095,,0.0,0.0,0.0,CLEARING,1.0,0.0,0.0,96.01210921581183,96.9937292511988,0.0,4.545454545454546,67.90842691446049,2
41,1523,366,817,151,213,2015,2015,0.0991464215364412,Hyde Park,5.0,111.0,22.2,HYDE PARK,3.0,0.0,0.0,92.63550096058682,94.50387310955368,4.613466334164588,13.636363636363637,67.59827334012178,2
40,2780,1049,1083,608,741,2015,2015,0.218705035971223,Washington Park,18.0,883.0,49.05555555555556,WASHINGTON PARK,3.0,0.0,0.0,85.31757582814228,81.90704537071191,36.69991687448047,13.636363636363637,67.57329020387446,2
45,1393,465,541,314,295,2015,2015,0.2254127781765972,Avalon Park,1.0,102.0,102.0,AVALON PARK,3.0,0.0,0.0,93.39232694882692,92.67797860568056,4.239401496259352,13.636363636363637,67.40755844128049,2
20,1742,481,776,457,359,2015,2015,0.2623421354764638,,0.0,0.0,0.0,HERMOSA,7.0,0.0,0.0,91.36054025732084,92.38288454444854,0.0,31.818181818181817,67.3897824337247,2
48,1489,446,649,304,336,2015,2015,0.2041638683680322,Calumet Heights,1.0,134.0,134.0,CALUMET HEIGHTS,2.0,0.0,0.0,92.83344006520348,93.02840280339358,5.569409808811305,9.090909090909092,67.05512160104313,2
52,1326,414,508,360,286,2015,2015,0.2714932126696832,,0.0,0.0,0.0,EAST SIDE,3.0,0.0,0.0,93.78238341968913,93.61859092585762,0.0,13.636363636363637,66.97035663396088,2
4,1773,432,889,310,189,2015,2015,0.1748448956570784,Lincoln Square,7.0,36.0,5.142857142857143,LINCOLN SQUARE,4.0,0.0,0.0,91.18006636781745,93.2866101069716,1.4962593516209477,18.181818181818183,66.47011608076674,2
60,1623,417,860,282,273,2015,2015,0.1737523105360443,Bridgeport,1.0,85.0,85.0,BRIDGEPORT,2.0,0.0,0.0,92.05332712347908,93.5632607893766,3.5328345802161265,9.090909090909092,66.43047022804387,2
65,2064,442,1198,460,324,2015,2015,0.2228682170542635,West Lawn,1.0,89.0,89.0,WEST LAWN,4.0,0.0,0.0,89.48594050183385,93.10217631870158,3.69908561928512,18.181818181818183,66.10221624753946,2
22,4812,1088,2771,852,626,2015,2015,0.1770573566084788,Logan Square,35.0,707.0,20.2,LOGAN SQUARE,15.0,0.0,0.0,73.4878034581126,81.18775359645888,29.38487115544472,68.18181818181817,66.06160600453615,0
75,2095,581,898,478,428,2015,2015,0.228162291169451,,0.0,0.0,0.0,MORGAN PARK,7.0,0.0,0.0,89.30546661233043,90.53854666174844,0.0,31.818181818181817,66.00391482280399,2
21,2270,586,1208,414,339,2015,2015,0.1823788546255506,Avondale,6.0,76.0,12.666666666666666,AVONDALE,6.0,0.0,0.0,88.28666239739186,90.44632976761343,3.158769742310889,27.27272727272727,65.69960719646461,2
51,1931,601,762,571,444,2015,2015,0.2957017089590885,South Deering,1.0,86.0,86.0,SOUTH DEERING,4.0,0.0,0.0,90.26023170518717,90.1696790852084,3.5743973399833746,18.181818181818183,65.69258532481483,2
76,1735,264,685,484,94,2015,2015,0.2789625360230547,,0.0,0.0,0.0,OHARE,1.0,0.0,0.0,91.40129242591838,96.3850977499078,0.0,4.545454545454546,65.68140148368568,2
19,4864,1511,1909,1306,965,2015,2015,0.2685032894736842,Belmont Cragin,9.0,525.0,58.333333333333336,BELMONT CRAGIN,22.0,0.0,0.0,73.18507306281656,73.3862043526374,21.82044887780549,100.0,65.64392374198789,0
7,3767,535,2539,413,196,2015,2015,0.1096363153703212,Lincoln Park,5.0,186.0,37.2,LINCOLN PARK,11.0,0.0,0.0,79.5715200558887,91.38694208779047,7.73067331670823,50.0,65.20005421043919,0
58,2772,813,1086,764,551,2015,2015,0.2756132756132756,Brighton Park,1.0,30.0,30.0,BRIGHTON PARK,10.0,0.0,0.0,85.3641497351109,86.25968277388418,1.2468827930174564,45.45454545454545,64.77361917832899,0
63,2376,740,993,598,509,2015,2015,0.2516835016835017,Gage Park,1.0,59.0,59.0,GAGE PARK,5.0,0.0,0.0,87.66955813005764,87.60604942825526,2.4522028262676643,22.727272727272727,64.11598135357056,2
70,2323,639,1052,405,439,2015,2015,0.1743435213086526,Ashburn,1.0,85.0,85.0,ASHBURN,3.0,0.0,0.0,87.97811026372474,89.46883068978237,3.5328345802161265,13.636363636363637,64.02756057080131,2
42,3764,1266,1415,985,860,2015,2015,0.2616896918172157,Woodlawn,17.0,764.0,44.94117647058823,WOODLAWN,5.0,0.0,0.0,79.58898527100192,77.90483216525267,31.75394846217789,22.727272727272727,63.914768378426885,0
15,3468,864,1694,665,579,2015,2015,0.191753171856978,Portage Park,6.0,123.0,20.5,PORTAGE PARK,10.0,0.0,0.0,81.3122198288409,85.31907045370711,5.112219451371571,45.45454545454545,63.48816497213405,0
16,3026,815,1575,426,535,2015,2015,0.1407799074686054,Irving Park,2.0,65.0,32.5,IRVING PARK,7.0,0.0,0.0,83.88542818885719,86.22279601623018,2.701579384871156,31.818181818181817,63.0262757478357,2
30,4483,1545,1667,1170,929,2015,2015,0.260985946910551,South Lawndale,3.0,39.0,13.0,SOUTH LAWNDALE,22.0,0.0,0.0,75.40315538219713,72.75912947251936,1.6209476309226931,100.0,62.445391816303086,0
28,7964,1891,4118,1556,950,2015,2015,0.1953792064289302,Near West Side,35.0,1958.0,55.94285714285714,NEAR WEST SIDE,9.0,0.0,0.0,55.13768411247599,66.37772039837698,81.37988362427265,40.909090909090914,61.773273765972064,1
61,5019,1627,1804,1615,1029,2015,2015,0.3217772464634389,New City,4.0,336.0,84.0,NEW CITY,17.0,0.0,0.0,72.28270361529952,71.24677240870527,13.96508728179551,77.27272727272727,60.85919991269293,0
73,3183,975,1200,736,688,2015,2015,0.2312284008796732,Washington Heights,3.0,146.0,48.66666666666666,WASHINGTON HEIGHTS,2.0,0.0,0.0,82.97141526459801,83.27185540391,6.068162926018288,9.090909090909092,60.277824214341166,2
27,5467,1714,1337,2276,1098,2015,2015,0.4163160782879093,East Garfield Park,14.0,1205.0,86.07142857142857,EAST GARFIELD PARK,3.0,0.0,0.0,69.67456482505676,69.64219845075618,50.0831255195345,13.636363636363637,60.14436525150786,1
6,5595,1181,3186,998,337,2015,2015,0.1783735478105451,Lake View,24.0,523.0,21.791666666666668,LAKE VIEW,9.0,0.0,0.0,68.92938231355883,79.47251936554777,21.737323358270988,40.909090909090914,59.3247256450517,1
53,4027,1344,1521,1044,1037,2015,2015,0.2592500620809536,West Pullman,4.0,262.0,65.5,WEST PULLMAN,5.0,0.0,0.0,78.05786807940851,76.46624861674658,10.889443059019118,22.727272727272727,58.69321867445157,0
8,9097,1602,5074,1996,495,2015,2015,0.2194129932944926,Near North Side,24.0,1312.0,54.66666666666666,NEAR NORTH SIDE,17.0,0.0,0.0,48.541654538045066,71.7078568793803,54.530340814630094,77.27272727272727,58.4040496521641,1
24,7097,1489,4349,1026,668,2015,2015,0.1445681273777652,West Town,34.0,620.0,18.23529411764705,WEST TOWN,14.0,0.0,0.0,60.18513128020027,73.79195868683144,25.768911055694097,63.63636363636363,57.048717322573154,1
26,6039,1670,1178,3120,1053,2015,2015,0.5166418281172379,West Garfield Park,3.0,509.0,169.66666666666666,WEST GARFIELD PARK,7.0,0.0,0.0,66.34453047680037,70.45370711914423,21.15544472152951,31.818181818181817,54.88137262047031,1
23,8209,2595,2419,3093,1654,2015,2015,0.3767815811913753,Humboldt Park,48.0,1139.0,23.729166666666668,HUMBOLDT PARK,16.0,0.0,0.0,53.71135821156197,53.393581704168206,47.33998337489609,72.72727272727273,54.25923056895143,1
66,6242,1927,2268,1816,1417,2015,2015,0.2909323934636335,Chicago Lawn,4.0,341.0,85.25,CHICAGO LAWN,12.0,0.0,0.0,65.16271758747162,65.71375876060495,14.172901080631751,54.54545454545454,54.04078827518527,1
46,5105,1770,1752,1592,1352,2015,2015,0.3118511263467189,South Chicago,3.0,164.0,54.66666666666666,SOUTH CHICAGO,5.0,0.0,0.0,71.78203411538686,68.60936923644411,6.816292601828762,22.727272727272727,53.09024345412814,1
68,7263,2492,2236,2510,1672,2015,2015,0.345587222910643,Englewood,10.0,822.0,82.2,ENGLEWOOD,8.0,0.0,0.0,59.21872271060138,55.29324972334932,34.1645885286783,36.36363636363637,50.94101899270724,1
44,6069,2025,2437,1727,1480,2015,2015,0.2845608831768001,Chatham,2.0,162.0,81.0,CHATHAM,6.0,0.0,0.0,66.16987832566804,63.90630763555883,6.733167082294264,27.27272727272727,49.826928299171904,1
49,6663,2281,2496,1762,1489,2015,2015,0.2644454449947471,Roseland,6.0,280.0,46.66666666666666,ROSELAND,7.0,0.0,0.0,62.71176573324795,59.18480265584655,11.637572734829591,31.818181818181817,48.52582797270731,1
29,8446,2867,2315,3229,2016,2015,2015,0.3823111532086194,North Lawndale,36.0,1315.0,36.52777777777778,NORTH LAWNDALE,4.0,0.0,0.0,52.33160621761658,48.3769826632239,54.65502909393184,18.181818181818183,48.39265610070163,1
32,7604,1217,4557,1806,336,2015,2015,0.237506575486586,Loop,4.0,53.0,13.25,LOOP,4.0,0.0,0.0,57.23350992606392,78.80855772777574,2.202826267664173,18.181818181818183,47.71596597038735,1
67,7554,2468,2274,2736,1731,2015,2015,0.3621922160444797,West Englewood,4.0,224.0,56.0,WEST ENGLEWOOD,11.0,0.0,0.0,57.52459684461781,55.735890815197344,9.310058187863676,50.0,46.68205292145009,1
71,7878,2704,2836,2156,1980,2015,2015,0.2736735211982736,Auburn Gresham,6.0,406.0,67.66666666666667,AUBURN GRESHAM,11.0,0.0,0.0,55.638353612388656,51.38325341202509,16.87448046550291,50.0,46.25796857168175,1
69,6795,2476,2478,1768,1831,2015,2015,0.2601913171449595,Greater Grand Crossing,2.0,56.0,28.0,GREATER GRAND CROSSING,7.0,0.0,0.0,61.943296268265705,55.58834378458133,2.327514546965918,31.818181818181817,45.41889035807626,1
43,9129,3080,3523,2182,2431,2015,2015,0.2390185124329061,South Shore,6.0,412.0,68.66666666666667,SOUTH SHORE,7.0,0.0,0.0,48.35535891017058,44.44854297307267,17.1238570241064,31.818181818181817,39.47863683948439,1
25,17435,5490,4885,6660,3901,2015,2015,0.3819902494981359,Austin,12.0,703.0,58.583333333333336,AUSTIN,14.0,0.0,0.0,0.0,0.0,29.218620116375725,63.63636363636363,12.207360386911509,3
