community_area,community_area_name,grocery_store_count,total_grocery_square_feet,avg_grocery_square_feet
1,ROGERS PARK,13,0.0,0.0
2,WEST RIDGE,18,0.0,0.0
3,UPTOWN,15,0.0,0.0
4,LINCOLN SQUARE,4,0.0,0.0
5,NORTH CENTER,6,0.0,0.0
6,LAKE VIEW,9,0.0,0.0
7,LINCOLN PARK,11,0.0,0.0
8,NEAR NORTH SIDE,17,0.0,0.0
9,EDISON PARK,1,0.0,0.0
10,NORWOOD PARK,4,0.0,0.0
11,JEFFERSON PARK,3,0.0,0.0
12,FOREST GLEN,2,0.0,0.0
13,NORTH PARK,2,0.0,0.0
14,ALBANY PARK,12,0.0,0.0
15,PORTAGE PARK,10,0.0,0.0
16,IRVING PARK,7,0.0,0.0
17,DUNNING,9,0.0,0.0
18,MONTCLARE,1,0.0,0.0
19,BELMONT CRAGIN,22,0.0,0.0
20,HERMOSA,7,0.0,0.0
21,AVONDALE,6,0.0,0.0
22,LOGAN SQUARE,15,0.0,0.0
23,HUMBOLDT PARK,16,0.0,0.0
24,WEST TOWN,14,0.0,0.0
25,AUSTIN,14,0.0,0.0
26,WEST GARFIELD PARK,7,0.0,0.0
27,EAST GARFIELD PARK,3,0.0,0.0
28,NEAR WEST SIDE,9,0.0,0.0
29,NORTH LAWNDALE,4,0.0,0.0
30,SOUTH LAWNDALE,22,0.0,0.0
31,LOWER WEST SIDE,11,0.0,0.0
32,LOOP,4,0.0,0.0
33,NEAR SOUTH SIDE,2,0.0,0.0
34,ARMOUR SQUARE,4,0.0,0.0
35,DOUGLAS,2,0.0,0.0
37,FULLER PARK,1,0.0,0.0
38,GRAND BOULEVARD,4,0.0,0.0
39,KENWOOD,4,0.0,0.0
40,WASHINGTON PARK,3,0.0,0.0
41,HYDE PARK,3,0.0,0.0
42,WOODLAWN,5,0.0,0.0
43,SOUTH SHORE,7,0.0,0.0
44,CHATHAM,6,0.0,0.0
45,AVALON PARK,3,0.0,0.0
46,SOUTH CHICAGO,5,0.0,0.0
48,CALUMET HEIGHTS,2,0.0,0.0
49,ROSELAND,7,0.0,0.0
50,PULLMAN,2,0.0,0.0
51,SOUTH DEERING,4,0.0,0.0
52,EAST SIDE,3,0.0,0.0
53,WEST PULLMAN,5,0.0,0.0
54,RIVERDALE,2,0.0,0.0
55,HEGEWISCH,3,0.0,0.0
56,GARFIELD RIDGE,4,0.0,0.0
57,ARCHER HEIGHTS,4,0.0,0.0
58,BRIGHTON PARK,10,0.0,0.0
59,MCKINLEY PARK,4,0.0,0.0
60,BRIDGEPORT,2,0.0,0.0
61,NEW CITY,17,0.0,0.0
62,WEST ELSDON,3,0.0,0.0
63,GAGE PARK,5,0.0,0.0
64,CLEARING,1,0.0,0.0
65,WEST LAWN,4,0.0,0.0
66,CHICAGO LAWN,12,0.0,0.0
67,WEST ENGLEWOOD,11,0.0,0.0
68,ENGLEWOOD,8,0.0,0.0
69,GREATER GRAND CROSSING,7,0.0,0.0
70,ASHBURN,3,0.0,0.0
71,AUBURN GRESHAM,11,0.0,0.0
72,BEVERLY,1,0.0,0.0
73,WASHINGTON HEIGHTS,2,0.0,0.0
74,MOUNT GREENWOOD,3,0.0,0.0
75,MORGAN PARK,7,0.0,0.0
76,OHARE,1,0.0,0.0
77,EDGEWATER,11,0.0,0.0
