community_area,community_area_name,affordable_property_count,affordable_unit_count,avg_units_per_property
1,Rogers Park,10,1178.0,117.8
2,West Ridge,6,324.0,54.0
3,Uptown,39,1432.0,36.717948717948715
4,Lincoln Square,7,36.0,5.142857142857143
5,North Center,5,162.0,32.4
6,Lake View,24,523.0,21.791666666666668
7,Lincoln Park,5,186.0,37.2
8,Near North Side,24,1312.0,54.666666666666664
9,Edison Park,1,1.0,1.0
10,Norwood Park,1,84.0,84.0
11,Jefferson Park,1,73.0,73.0
13,North Park,3,380.0,126.66666666666667
14,Albany Park,3,233.0,77.66666666666667
15,Portage Park,6,123.0,20.5
16,Irving Park,2,65.0,32.5
17,Dunning,1,129.0,129.0
18,Montclare,6,97.0,16.166666666666668
19,Belmont Cragin,8,470.0,58.75
19,Bridgeport,1,55.0,55.0
21,Avondale,6,76.0,12.666666666666666
22,Austin,1,30.0,30.0
22,Logan Square,32,657.0,20.53125
22,West Town,2,20.0,10.0
23,Humboldt Park,45,1018.0,22.622222222222224
23,Hunboldt Paek,3,121.0,40.333333333333336
24,West Town,34,620.0,18.235294117647058
25,Austin,12,703.0,58.583333333333336
26,West Garfield Park,3,509.0,169.66666666666666
27,East Garfield Park,14,1205.0,86.07142857142857
28,Near West Side,35,1958.0,55.94285714285714
29,Kenwood,1,122.0,122.0
29,North Lawndale,35,1193.0,34.08571428571429
30,South Lawndale,3,39.0,13.0
31,Lower West Side,15,352.0,23.466666666666665
32,Loop,4,53.0,13.25
33,Near  South Side,1,91.0,91.0
33,Near South Side,11,1382.0,125.63636363636364
34,Armour Square,1,147.0,147.0
35,Douglas,17,896.0,52.705882352941174
36,Oakland,18,1063.0,59.05555555555556
37,Fuller Park,1,100.0,100.0
38,Grand Boulevard,30,2406.0,80.2
39,Kenwood,3,333.0,111.0
40,Washington Park,18,883.0,49.05555555555556
41,Hyde Park,5,111.0,22.2
42,Woodlawn,17,764.0,44.94117647058823
43,South Shore,6,412.0,68.66666666666667
44,Chatham,2,162.0,81.0
45,Avalon Park,1,102.0,102.0
46,South Chicago,3,164.0,54.666666666666664
48,Calumet Heights,1,134.0,134.0
49,Roseland,6,280.0,46.666666666666664
50,Pullman,1,210.0,210.0
50,Roseland,1,60.0,60.0
51,South Deering,1,86.0,86.0
53,West Pullman,4,262.0,65.5
54,Riverdale,2,333.0,166.5
55,Hegewisch,1,116.0,116.0
56,Garfield Ridge,3,228.0,76.0
58,Brighton Park,1,30.0,30.0
60,Bridgeport,1,85.0,85.0
61,New City,4,336.0,84.0
62,West Elsdon,1,78.0,78.0
63,Gage Park,1,59.0,59.0
65,West Lawn,1,89.0,89.0
66,Chicago Lawn,4,341.0,85.25
67,West Englewood,4,224.0,56.0
68,Englewood,10,822.0,82.2
69,Greater Grand Crossing,2,56.0,28.0
70,Ashburn,1,85.0,85.0
71,Auburn Gresham,6,406.0,67.66666666666667
73,Washington Heights,3,146.0,48.666666666666664
77,Edgewater,7,529.0,75.57142857142857
